Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XCU;XDR;XEU
15.2.1994;2,723;23,815;92,822;24,885;22,732;19,142;4,903;23,463;5,948;5,627;49,029;13,253;47,142;19,808;31,808;92,822;17,071;4,431;18,975;4,155;33,462;38,972;46,012;37,116
16.2.1994;2,735;23,656;93,301;24,634;22,841;19,222;4,918;23,576;5,962;5,649;49,087;13,293;47,035;19,858;32,332;93,301;17,13;4,442;19,071;4,151;33,318;39,119;46,267;37,256
17.2.1994;2,736;23,587;93,41;24,6;22,858;19,232;4,908;23,514;5,942;5,645;48,919;13,302;46,878;19,768;32,056;93,41;17,148;4,444;19,04;4,132;33,235;39,074;46,417;37,213
18.2.1994;2,741;23,739;93,551;24,745;22,827;19,263;4,932;23,594;5,979;5,669;49,084;13,308;47,063;19,826;32,059;93,551;17,187;4,454;19,053;4,151;33,248;39,184;46,45;37,318
21.2.1994;2,743;23,76;93,709;24,728;22,855;19,287;4,937;23,594;5,987;5,673;49,045;13,312;47,158;19,797;31,742;93,709;17,192;4,458;19,085;4,165;33,161;39,192;46,31;37,326
22.2.1994;2,745;23,741;93,731;24,778;22,88;19,289;4,935;23,609;5,99;5,674;49,095;13,313;47,117;19,832;31,247;93,731;17,193;4,454;18,998;4,179;33,199;39,203;46,349;37,336
23.2.1994;2,731;23,971;93,322;24,761;22,858;19,21;4,919;23,612;6,007;5,653;49,106;13,286;47,083;19,801;31,55;93,322;17,117;4,444;18,962;4,185;33,269;39,097;46,446;37,235
24.2.1994;2,736;24,019;93,373;24,828;22,88;19,233;4,929;23,614;5,987;5,659;49,052;13,304;47,125;19,734;31,413;93,373;17,139;4,45;18,935;4,181;33,213;39,145;46,197;37,281
25.2.1994;2,727;24,216;93,151;24,703;22,777;19,174;4,91;23,64;5,954;5,647;49,141;13,242;47,099;19,721;31,476;93,151;17,087;4,436;18,911;4,172;33,255;39,014;46,263;37,156
28.2.1994;2,738;23,824;93,425;24,581;23,053;19,249;4,918;23,646;5,955;5,662;49,027;13,303;47,025;19,654;31,517;93,425;17,138;4,444;18,948;4,138;33,093;39,119;45,999;37,256
1.3.1994;2,744;23,649;93,725;24,519;23,13;19,295;4,923;23,685;5,945;5,677;49,14;13,317;47,136;19,548;31,657;93,725;17,185;4,447;18,958;4,122;33,076;39,192;46,163;37,326
2.3.1994;2,753;23,488;94,057;24,403;23,045;19,354;4,941;23,697;5,955;5,692;49,018;13,365;47,178;19,555;31,518;94,057;17,234;4,455;18,996;4,131;32,92;39,232;46,065;37,364
3.3.1994;2,756;23,316;94,046;24,388;23,023;19,37;4,935;23,544;5,927;5,686;49,172;13,358;47,231;19,525;31,867;94,046;17,262;4,457;18,848;4,103;32,9;39,247;46,142;37,378
4.3.1994;2,742;23,312;93,678;24,32;22,997;19,284;4,932;23,569;5,941;5,67;49,268;13,294;47,118;19,556;31,712;93,678;17,182;4,449;18,855;4,114;32,977;39,159;46,396;37,294
7.3.1994;2,739;23,557;93,571;24,386;22,977;19,265;4,931;23,558;5,959;5,666;49,204;13,269;47,279;19,601;31,365;93,571;17,155;4,445;18,869;4,13;33,012;39,138;46,243;37,274
8.3.1994;2,732;23,865;93,323;24,404;22,906;19,21;4,92;23,463;5,959;5,655;49,249;13,268;47,203;19,591;31,315;93,323;17,113;4,439;18,769;4,129;33,1;39,072;46,248;37,211
9.3.1994;2,736;23,718;93,487;24,367;23,001;19,248;4,933;23,408;5,973;5,664;49,203;13,283;47,156;19,538;31,352;93,487;17,139;4,44;18,729;4,134;33,029;39,102;46,03;37,24
10.3.1994;2,74;23,426;93,511;24,288;22,941;19,275;4,933;23,341;5,927;5,667;49,102;13,289;47,024;19,488;31,304;93,511;17,164;4,44;18,693;4,102;32,925;39,073;45,977;37,212
11.3.1994;2,747;23,279;93,677;24,178;22,946;19,324;4,947;23,404;5,918;5,677;49,117;13,284;47,075;19,492;30,966;93,677;17,206;4,453;18,725;4,121;32,778;39,204;45,818;37,337
14.3.1994;2,758;23,209;93,968;24,058;23,067;19,41;4,973;23,564;5,953;5,699;49,053;13,336;47,163;19,602;31,044;93,968;17,271;4,473;18,771;4,15;32,652;39,341;45,739;37,468
15.3.1994;2,754;23,46;93,948;24,077;22,995;19,375;4,962;23,647;5,957;5,7;48,949;13,304;47,035;19,601;30,97;93,948;17,235;4,471;18,902;4,164;32,72;39,314;45,961;37,442
