Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XCU;XDR;XEU
4.7.1994;2,824;23,296;96,398;23,054;23,692;19,864;5,055;24,03;5,909;5,791;48,805;13,163;48,104;19,892;32,067;96,398;17,711;4,542;19,284;4,001;31,842;39,884;46,119;37,985
6.7.1994;2,829;23,212;96,575;22,987;23,702;19,895;5,069;24,149;5,957;5,811;48,869;13,201;48,236;20,063;32,109;96,575;17,745;4,556;19,32;4,036;31,785;39,988;45,918;38,084
7.7.1994;2,848;22,895;97,013;22,762;23,864;20,028;5,099;24,197;6,063;5,841;48,746;13,3;48,272;20,12;32,169;97,013;17,858;4,572;19,417;4,016;31,549;40,178;45,789;38,265
8.7.1994;2,846;23,115;96,672;22,791;23,784;20,023;5,088;24,107;6,037;5,825;48,764;13,274;48,25;20,117;31,905;96,672;17,841;4,563;19,383;4,014;31,573;40,147;45,984;38,235
11.7.1994;2,849;23,068;96,94;22,728;23,834;20,034;5,101;24,214;6,01;5,836;48,578;13,286;47,998;20,15;31,831;96,94;17,865;4,568;19,454;4,031;31,544;40,179;45,83;38,266
12.7.1994;2,867;22,899;97,629;22,512;23,918;20,167;5,124;24,35;6,092;5,865;48,736;13,334;48,213;20,224;31,96;97,629;17,973;4,591;19,57;4,06;31,321;40,385;45,583;38,462
13.7.1994;2,887;22,817;98,586;22,439;24,062;20,31;5,17;24,649;6,138;5,916;48,781;13,457;48,324;20,495;31,923;98,586;18,112;4,63;19,77;4,115;31,065;40,714;45,551;38,775
14.7.1994;2,882;22,874;98,503;22,5;24,047;20,278;5,162;24,647;6,133;5,917;48,76;13,43;48,241;20,489;31,915;98,503;18,099;4,627;19,732;4,126;31,117;40,684;45,884;38,747
15.7.1994;2,875;22,895;98,142;22,594;23,985;20,227;5,151;24,522;6,121;5,901;48,805;13,373;48,271;20,408;31,768;98,142;18,04;4,623;19,672;4,104;31,209;40,601;45,965;38,668
18.7.1994;2,876;22,851;98,224;22,652;23,993;20,232;5,147;24,487;6,107;5,896;48,822;13,379;48,235;20,214;31,79;98,224;18,041;4,62;19,645;4,06;31,196;40,555;45,646;38,624
19.7.1994;2,876;22,851;98,224;22,652;23,993;20,232;5,147;24,487;6,107;5,896;48,822;13,379;48,235;20,214;31,79;98,224;18,041;4,62;19,645;4,06;31,196;40,555;45,646;38,624
20.7.1994;2,869;22,897;97,97;22,694;23,916;20,18;5,134;24,444;6,086;5,884;48,919;13,355;48,098;20,14;31,795;97,97;18,001;4,612;19,604;4,064;31,318;40,453;45,937;38,527
21.7.1994;2,853;23,239;97,436;22,832;23,744;20,067;5,112;24,329;6,054;5,857;48,809;13,288;48,016;20,066;31,77;97,436;17,898;4,593;19,51;4,055;31,579;40,263;46,252;38,346
22.7.1994;2,861;23,138;97,634;22,727;23,837;20,128;5,126;24,408;6,069;5,875;48,638;13,304;48,018;20,178;31,939;97,634;17,946;4,611;19,592;4,062;31,438;40,381;45,664;38,458
25.7.1994;2,838;23,495;96,935;23,101;23,622;19,963;5,093;24,212;6,042;5,834;48,47;13,219;47,913;20,091;32,205;96,935;17,796;4,579;19,461;4,044;31,819;40,138;46,478;38,227
26.7.1994;2,841;23,567;97,099;22,994;23,579;19,988;5,09;24,254;6,047;5,845;48,705;13,234;48,058;20,097;32,17;97,099;17,848;4,584;19,491;4,047;31,761;40,159;45,993;38,247
27.7.1994;2,838;23,666;96,979;23,038;23,491;19,968;5,087;24,271;6,052;5,845;48,483;13,221;47,923;20,059;32,267;96,979;17,806;4,583;19,521;4,073;31,809;40,119;46,139;38,209
28.7.1994;2,846;23,407;97,244;22,892;23,578;20,015;5,095;24,315;6,073;5,859;48,312;13,227;47,714;19,951;32,223;97,244;17,833;4,592;19,581;4,083;31,653;40,158;45,893;38,246
29.7.1994;2,851;23,219;97,483;22,814;23,686;20,056;5,1;24,329;6,076;5,866;48,364;13,249;47,891;19,887;32;97,483;17,871;4,598;19,606;4,065;31,526;40,222;45,877;38,307
1.8.1994;2,833;23,468;96,936;23,007;23,491;19,94;5,077;24,238;6,058;5,841;48,526;13,238;47,826;19,909;31,668;96,936;17,768;4,577;19,56;4,086;31,795;40,039;46,291;38,132
2.8.1994;2,85;23,293;97,399;22,744;23,698;20,056;5,092;24,365;6,092;5,863;48,679;13,25;48,298;19,943;31,911;97,399;17,869;4,592;19,701;4,082;31,528;40,232;45,503;38,316
3.8.1994;2,845;23,332;97,241;22,782;23,727;20,012;5,084;24,338;6,068;5,854;48,608;13,244;47,963;19,912;31,736;97,241;17,832;4,583;19,686;4,075;31,628;40,173;46,081;38,26
4.8.1994;2,84;23,222;97,075;22,812;23,658;19,982;5,082;24,235;6,064;5,851;48,654;13,232;47,991;19,994;31,47;97,075;17,787;4,573;19,592;4,094;31,69;40,139;45,995;38,228
5.8.1994;2,848;23,081;97,306;22,758;23,707;20,036;5,099;24,326;6,079;5,862;48,646;13,269;47,977;20,111;31,582;97,306;17,849;4,587;19,629;4,096;31,566;40,243;45,627;38,327
8.8.1994;2,838;23,512;96,932;22,884;23,65;19,964;5,07;24,263;6,055;5,832;48,712;13,233;48,043;19,994;31,537;96,932;17,776;4,567;19,611;4,071;31,726;40,051;46,056;38,144
9.8.1994;2,843;23,47;97,156;22,889;23,711;20,001;5,086;24,35;6,068;5,845;48,838;13,24;48,31;20,064;31,386;97,156;17,805;4,58;19,7;4,086;31,631;40,144;45,697;38,232
10.8.1994;2,84;23,507;97,017;22,982;23,678;19,983;5,07;24,267;6,074;5,83;48,665;13,234;48,168;19,969;31,204;97,017;17,787;4,57;19,639;4,064;31,681;40,074;45,809;38,166
11.8.1994;2,844;23,42;97,075;23,01;23,767;20,015;5,074;24,31;6,075;5,838;48,598;13,251;48,095;19,938;31,186;97,075;17,809;4,575;19,676;4,056;31,598;40,118;45,609;38,208
12.8.1994;2,841;23,605;97,06;22,961;23,713;19,989;5,066;24,278;6,082;5,836;48,669;13,224;48,077;19,864;31,411;97,06;17,788;4,568;19,668;4,057;31,659;40,076;45,786;38,168
15.8.1994;2,865;23,171;97,622;22,6;24,032;20,153;5,078;24,153;6,052;5,87;48,412;13,315;47,449;19,728;31,397;97,622;17,954;4,582;19,584;4,012;31,278;40,258;45,209;38,341
16.8.1994;2,866;23,245;97,827;22,652;23,992;20,15;5,084;24,149;6,077;5,872;48,351;13,301;47,663;19,688;31,198;97,827;17,938;4,578;19,639;4,025;31,285;40,211;45,599;38,296
17.8.1994;2,86;23,263;97,599;22,701;23,976;20,12;5,071;24,127;6,072;5,866;48,253;13,279;47,645;19,678;31,192;97,599;17,919;4,575;19,615;4,024;31,339;40,169;45,634;38,256
18.8.1994;2,858;23,269;97,518;22,773;23,933;20,112;5,064;24,048;6,053;5,862;48,21;13,276;47,602;19,68;31,246;97,518;17,908;4,567;19,583;3,975;31,352;40,126;45,57;38,215
19.8.1994;2,864;23,161;97,754;22,691;24,016;20,153;5,066;24,057;6,074;5,87;48,223;13,307;47,601;19,674;31,37;97,754;17,943;4,573;19,621;3,966;31,257;40,175;45,414;38,262
22.8.1994;2,872;23;97,895;22,638;24,052;20,215;5,093;24,102;6,128;5,881;48,129;13,318;47,643;19,759;31,633;97,895;17,995;4,588;19,653;4,027;31,111;40,278;45,375;38,36
23.8.1994;2,876;22,89;98,123;22,596;24,016;20,238;5,114;24,168;6,212;5,901;48,084;13,361;47,475;19,804;31,698;98,123;18,033;4,601;19,714;4,114;31,058;40,382;45,582;38,459
24.8.1994;2,877;22,896;98,216;22,549;24,029;20,244;5,119;24,226;6,2;5,905;48,23;13,347;47,615;19,831;31,593;98,216;18,035;4,605;19,762;4,098;31,046;40,416;45,617;38,491
25.8.1994;2,87;23,077;97,887;22,662;23,951;20,189;5,088;24,183;6,165;5,887;48,357;13,321;47,69;19,811;31,586;97,887;17,981;4,588;19,715;4,062;31,172;40,35;45,786;38,429
26.8.1994;2,867;23,144;97,871;22,714;23,911;20,171;5,086;24,206;6,176;5,887;48,372;13,29;47,751;19,855;31,348;97,871;17,966;4,59;19,726;4,079;31,216;40,339;45,754;38,418
30.8.1994;2,869;23,145;97,963;22,73;23,929;20,191;5,088;24,209;6,204;5,89;48,483;13,299;47,879;19,836;31,387;97,963;17,977;4,593;19,737;4,093;31,167;40,35;45,52;38,429
31.8.1994;2,841;23,498;97,06;23,139;23,66;19,991;5,052;24,082;6,213;5,841;48,489;13,189;47,819;19,761;31,663;97,06;17,806;4,557;19,643;4,081;31,622;40,037;46,185;38,13
2.9.1994;2,842;23,425;97,128;23,06;23,692;19,997;5,067;24,082;6,182;5,836;48,526;13,179;47,716;19,905;31,554;97,128;17,818;4,561;19,626;4,079;31,617;40,096;45,832;38,187
5.9.1994;2,845;23,438;97,264;23,107;23,835;20,015;5,075;24,134;6,185;5,849;48,768;13,186;48,124;19,938;31,633;97,264;17,846;4,569;19,631;4,095;31,567;40,155;45,744;38,243
6.9.1994;2,859;23,14;97,774;22,916;23,939;20,122;5,096;24,207;6,188;5,877;48,424;13,244;47,892;19,928;31,596;97,774;17,937;4,586;19,703;4,075;31,312;40,298;45,454;38,379
7.9.1994;2,867;23,06;97,937;22,815;24,033;20,181;5,098;24,209;6,203;5,887;48,265;13,264;47,804;19,865;31,53;97,937;17,994;4,59;19,727;4,081;31,183;40,361;45,266;38,439
8.9.1994;2,867;23,106;97,891;22,803;24,089;20,173;5,098;24,169;6,205;5,886;48,299;13,258;47,644;19,828;31,494;97,891;17,984;4,587;19,725;4,095;31,195;40,321;45,652;38,401
9.9.1994;2,863;23,206;97,818;22,827;24,086;20,15;5,094;24,18;6,203;5,878;48,295;13,238;47,642;19,804;31,449;97,818;17,971;4,582;19,779;4,107;31,245;40,294;45,748;38,375
12.9.1994;2,857;23,348;97,657;22,85;24,034;20,106;5,084;24,173;6,193;5,871;48,354;13,209;47,709;19,731;31,521;97,657;17,94;4,577;19,728;4,093;31,348;40,219;45,777;38,304
13.9.1994;2,873;23,12;98,181;22,783;24,262;20,213;5,116;24,304;6,249;5,904;48,525;13,27;47,956;19,84;31,428;98,181;18,033;4,595;19,824;4,134;31,092;40,423;45,296;38,498
14.9.1994;2,871;23,177;98,166;22,971;24,215;20,196;5,118;24,332;6,296;5,901;48,828;13,266;48,13;19,903;31,437;98,166;18,01;4,601;19,834;4,162;31,148;40,45;45,672;38,524
16.9.1994;2,871;23,067;98,157;23,073;24,275;20,206;5,116;24,317;6,276;5,904;48,701;13,274;48,039;19,91;31,551;98,157;18,016;4,598;19,823;4,143;31,109;40,429;45,591;38,504
19.9.1994;2,862;23,236;97,906;23,111;24,241;20,152;5,11;24,281;6,281;5,895;48,845;13,23;48,102;19,958;31,471;97,906;17,973;4,594;19,805;4,167;31,235;40,297;45,73;38,378
20.9.1994;2,867;23,197;98,005;23,069;24,289;20,173;5,114;24,293;6,291;5,906;49,082;13,255;48,458;19,928;31,55;98,005;17,997;4,601;19,813;4,167;31,187;40,369;45,637;38,447
21.9.1994;2,859;23,265;97,759;23,253;24,308;20,114;5,116;24,289;6,331;5,887;49,171;13,215;48,489;19,934;31,796;97,759;17,941;4,59;19,798;4,19;31,275;40,333;45,89;38,412
22.9.1994;2,862;23,111;97,889;23,268;24,288;20,142;5,12;24,362;6,334;5,894;49,224;13,234;48,613;20,049;31,886;97,889;17,969;4,596;19,816;4,195;31,21;40,392;45,715;38,469
23.9.1994;2,863;22,939;97,954;23,216;24,268;20,159;5,124;24,328;6,335;5,896;49,177;13,232;48,613;19,953;31,769;97,954;17,986;4,598;19,79;4,178;31,172;40,38;45,764;38,457
26.9.1994;2,865;23,05;98,012;23,199;24,281;20,165;5,128;24,338;6,347;5,897;49,166;13,235;48,574;19,923;31,856;98,012;17,991;4,599;19,735;4,181;31,165;40,39;45,76;38,467
27.9.1994;2,859;23,12;97,799;23,273;24,272;20,12;5,124;24,304;6,387;5,888;49,307;13,211;48,643;19,991;31,837;97,799;17,955;4,595;19,743;4,184;31,286;40,377;45,959;38,454
28.9.1994;2,861;23,171;97,919;23,154;24,332;20,136;5,129;24,305;6,378;5,894;49,202;13,216;48,555;20,028;31,796;97,919;17,979;4,596;19,755;4,181;31,249;40,407;45,808;38,483
29.9.1994;2,867;23,064;98,129;23,204;24,351;20,174;5,138;24,318;6,38;5,908;49,169;13,242;48,596;20,08;31,579;98,129;18,005;4,605;19,804;4,19;31,159;40,464;45,685;38,537
30.9.1994;2,862;23,03;97,948;23,246;24,276;20,141;5,132;24,295;6,379;5,906;49,211;13,217;48,699;20,031;31,704;97,948;17,991;4,603;19,755;4,176;31,219;40,438;45,804;38,512
3.10.1994;2,863;23,079;97,965;23,214;24,255;20,15;5,136;24,308;6,422;5,904;49,258;13,223;48,688;20,032;31,667;97,965;17,983;4,603;19,763;4,163;31,192;40,442;45,765;38,516
4.10.1994;2,856;23,241;97,752;23,262;24,193;20,099;5,128;24,294;6,434;5,892;49,335;13,183;48,772;19,996;31,407;97,752;17,949;4,595;19,732;4,179;31,31;40,361;45,944;38,439
5.10.1994;2,861;23,091;97,908;23,233;24,219;20,137;5,145;24,321;6,505;5,898;49,36;13,208;48,802;19,992;31,37;97,908;17,982;4,619;19,769;4,207;31,213;40,459;45,564;38,532
6.10.1994;2,864;23,043;97,874;23,156;24,303;20,158;5,144;24,299;6,501;5,899;49,394;13,222;48,857;19,804;31,264;97,874;17,991;4,625;19,75;4,225;31,173;40,457;45,604;38,53
7.10.1994;2,864;23,023;97,907;23,104;24,326;20,17;5,146;24,305;6,488;5,901;49,392;13,214;48,843;19,905;31,232;97,907;18,004;4,628;19,754;4,223;31,154;40,461;45,624;38,534
10.10.1994;2,868;22,954;98,037;23,063;24,379;20,19;5,161;24,342;6,56;5,906;49,497;13,226;48,944;19,845;31,11;98,037;18,032;4,646;19,781;4,239;31,107;40,508;45,562;38,579
11.10.1994;2,861;23,06;97,89;23,178;24,311;20,139;5,148;24,3;6,552;5,894;49,442;13,195;48,823;19,801;31,005;97,89;17,984;4,633;19,736;4,227;31,225;40,422;45,751;38,497
12.10.1994;2,866;22,993;97,993;23,204;24,265;20,171;5,15;24,334;6,533;5,9;49,37;13,209;48,825;19,779;31,022;97,993;18,007;4,632;19,749;4,205;31,152;40,42;45,644;38,495
13.10.1994;2,868;22,907;98,069;23,135;24,184;20,181;5,15;24,311;6,532;5,897;49,206;13,223;48,67;19,839;31,184;98,069;18,022;4,635;19,744;4,195;31,137;40,432;45,516;38,507
14.10.1994;2,871;22,904;98,177;23,077;24,251;20,209;5,154;24,31;6,565;5,9;49,228;13,22;48,721;19,869;31,125;98,177;18,043;4,633;19,747;4,197;31,078;40,453;45,512;38,527
17.10.1994;2,882;22,77;98,571;22,889;24,359;20,281;5,172;24,419;6,568;5,92;49,184;13,254;48,711;19,901;31,325;98,571;18,103;4,654;19,809;4,234;30,912;40,608;45,269;38,674
18.10.1994;2,896;22,641;99,038;22,625;24,445;20,382;5,194;24,506;6,618;5,939;49,215;13,291;48,685;19,906;31,302;99,038;18,188;4,674;19,901;4,236;30,679;40,74;45,213;38,8
19.10.1994;2,897;22,583;99,124;22,635;24,531;20,39;5,205;24,543;6,604;5,947;49,413;13,305;48,806;19,99;31,291;99,124;18,201;4,681;19,917;4,253;30,659;40,787;45,501;38,845
20.10.1994;2,899;22,498;99,171;22,611;24,603;20,403;5,208;24,517;6,606;5,951;49,573;13,306;48,945;19,981;31,468;99,171;18,213;4,686;19,919;4,246;30,631;40,791;45,466;38,849
21.10.1994;2,899;22,558;99,149;22,613;24,572;20,403;5,211;24,501;6,629;5,953;49,634;13,284;49,058;19,993;31,392;99,149;18,212;4,686;19,923;4,256;30,629;40,799;45,561;38,856
24.10.1994;2,907;22,328;99,403;22,457;24,63;20,462;5,234;24,544;6,702;5,967;49,736;13,312;49,144;19,968;31,499;99,403;18,259;4,701;19,995;4,319;30,494;40,83;45,341;38,886
25.10.1994;2,899;22,599;99,059;22,653;24,488;20,401;5,223;24,474;6,678;5,957;49,829;13,265;49,152;19,964;31,487;99,059;18,21;4,691;19,951;4,293;30,634;40,78;45,751;38,838
26.10.1994;2,907;22,428;99,374;22,546;24,579;20,465;5,238;24,514;6,718;5,974;49,862;13,287;49,149;19,953;31,495;99,374;18,254;4,701;20,015;4,325;30,493;40,873;45,398;38,927
27.10.1994;2,901;22,579;99,212;22,683;24,441;20,414;5,23;24,519;6,73;5,961;49,937;13,246;49,331;19,974;31,509;99,212;18,217;4,697;19,994;4,327;30,595;40,84;45,753;38,895
28.10.1994;2,901;22,669;99,256;22,652;24,48;20,427;5,23;24,557;6,727;5,968;49,981;13,252;49,276;19,997;31,577;99,256;18,223;4,7;20,012;4,313;30,551;40,901;45,546;38,953
31.10.1994;2,901;22,715;99,192;22,652;24,406;20,417;5,22;24,524;6,69;5,963;50,013;13,243;49,408;19,967;31,518;99,192;18,213;4,694;19,97;4,285;30,576;40,892;45,656;38,945
2.11.1994;2,891;22,874;98,922;22,744;24,381;20,343;5,202;24,457;6,663;5,942;49,896;13,209;49,244;19,9;31,585;98,922;18,151;4,681;19,91;4,271;30,745;40,734;45,854;38,794
3.11.1994;2,903;22,615;99,313;22,522;24,553;20,439;5,22;24,511;6,635;5,963;50,007;13,253;49,366;19,889;31,667;99,313;18,231;4,682;19,974;4,253;30,524;40,845;45,531;38,9
4.11.1994;2,889;22,828;98,85;22,667;24,376;20,336;5,193;24,399;6,633;5,933;49,93;13,196;49,296;19,805;31,593;98,85;18,141;4,664;19,89;4,236;30,762;40,673;45,929;38,736
7.11.1994;2,882;22,969;98,623;22,714;24,283;20,292;5,179;24,346;6,61;5,913;49,759;13,169;49,135;19,759;31,516;98,623;18,101;4,65;19,855;4,19;30,864;40,577;45,745;38,645
8.11.1994;2,887;23,093;98,787;22,712;24,263;20,328;5,184;24,382;6,562;5,925;49,765;13,186;49,054;19,79;31,669;98,787;18,133;4,654;19,908;4,186;30,782;40,621;45,486;38,687
9.11.1994;2,888;23,187;98,764;22,66;24,31;20,328;5,184;24,384;6,579;5,921;49,666;13,19;48,937;19,799;31,675;98,764;18,135;4,653;19,933;4,194;30,772;40,572;45,647;38,64
10.11.1994;2,879;23,299;98,407;22,787;24,235;20,274;5,172;24,337;6,59;5,899;49,72;13,149;48,911;19,718;31,551;98,407;18,082;4,641;19,843;4,207;30,888;40,492;45,852;38,564
11.11.1994;2,878;23,333;98,444;22,791;24,158;20,253;5,174;24,319;6,622;5,893;49,73;13,149;48,842;19,711;31,665;98,444;18,062;4,634;19,856;4,23;30,946;40,473;45,655;38,546
14.11.1994;2,877;23,24;98,46;22,788;24,177;20,253;5,182;24,344;6,648;5,891;49,575;13,148;48,65;19,755;31,678;98,46;18,065;4,621;19,855;4,262;30,946;40,454;45,719;38,528
15.11.1994;2,866;23,408;98,084;22,972;24,062;20,172;5,167;24,263;6,703;5,865;49,506;13,107;48,469;19,642;31,654;98,084;17,997;4,62;19,785;4,308;31,132;40,341;45,959;38,42
16.11.1994;2,867;23,388;98,092;22,862;24,018;20,182;5,169;24,25;6,655;5,871;49,434;13,109;48,5;19,659;31,687;98,092;18,007;4,613;19,767;4,266;31,11;40,358;45,701;38,436
17.11.1994;2,858;23,529;97,745;22,914;23,902;20,118;5,146;24,194;6,588;5,859;49,189;13,065;48,323;19,652;31,716;97,745;17,939;4,592;19,713;4,218;31,259;40,247;45,941;38,33
18.11.1994;2,861;23,525;97,901;22,86;23,947;20,139;5,152;24,17;6,568;5,864;49,028;13,078;48,148;19,622;31,764;97,901;17,969;4,601;19,726;4,213;31,208;40,262;45,675;38,345
21.11.1994;2,858;23,666;97,774;22,856;23,791;20,113;5,145;24,146;6,575;5,857;49,045;13,067;48,236;19,633;31,831;97,774;17,947;4,589;19,713;4,258;31,271;40,187;45,865;38,273
22.11.1994;2,852;23,774;97,613;22,928;23,696;20,08;5,136;24,104;6,563;5,849;49,158;13,052;48,406;19,582;31,776;97,613;17,903;4,592;19,677;4,263;31,331;40,181;45,852;38,268
23.11.1994;2,858;23,841;97,797;22,794;23,734;20,113;5,142;24,141;6,588;5,861;49,019;13,065;48,366;19,565;31,812;97,797;17,945;4,595;19,724;4,248;31,246;40,219;45,668;38,304
24.11.1994;2,862;23,667;97,905;22,674;23,783;20,152;5,138;24,153;6,601;5,864;49,1;13,073;48,449;19,472;31,817;97,905;17,971;4,599;19,75;4,239;31,165;40,236;45,65;38,32
25.11.1994;2,854;23,768;97,617;22,746;23,718;20,091;5,13;24,075;6,564;5,85;48,881;13,045;48,296;19,452;31,781;97,617;17,926;4,588;19,688;4,212;31,298;40,161;45,926;38,249
28.11.1994;2,855;23,784;97,619;22,759;23,734;20,098;5,129;24,054;6,516;5,849;48,913;13,035;48,215;19,372;31,717;97,619;17,939;4,577;19,669;4,195;31,282;40,145;45,903;38,233
29.11.1994;2,848;23,927;97,417;22,83;23,64;20,052;5,12;24,007;6,492;5,838;48,975;13,015;48,269;19,359;31,764;97,417;17,892;4,588;19,619;4,192;31,38;40,089;46,046;38,18
30.11.1994;2,85;23,966;97,516;22,772;23,675;20,057;5,122;24,056;6,481;5,847;49,086;13,018;48,393;19,448;31,789;97,516;17,91;4,593;19,626;4,165;31,369;40,16;45,775;38,248
1.12.1994;2,845;24,181;97,392;22,803;23,643;20,021;5,113;24,009;6,473;5,838;49,155;13;48,369;19,456;31,763;97,392;17,88;4,596;19,603;4,164;31,445;40,139;45,918;38,228
2.12.1994;2,846;24,119;97,508;22,844;23,72;20,033;5,123;24,014;6,467;5,845;49,246;12,999;48,417;19,508;31,718;97,508;17,9;4,608;19,611;4,186;31,417;40,163;45,766;38,25
5.12.1994;2,841;24,261;97,297;22,872;23,668;19,999;5,113;23,958;6,44;5,831;49,334;12,974;48,496;19,477;31,58;97,297;17,853;4,595;19,572;4,171;31,495;40,084;45,908;38,175
6.12.1994;2,84;24,342;97,239;22,987;23,69;19,99;5,11;23,911;6,457;5,824;49,167;12,971;48,303;19,472;31,355;97,239;17,848;4,593;19,561;4,205;31,515;40,063;45,788;38,155
7.12.1994;2,844;24,215;97,309;22,902;23,727;20,014;5,115;23,86;6,441;5,829;49,043;12,976;48,099;19,396;31,303;97,309;17,879;4,594;19,573;4,187;31,46;40,075;45,624;38,167
8.12.1994;2,847;24,222;97,402;22,84;23,705;20,032;5,115;23,893;6,449;5,831;49,232;12,989;48,18;19,393;31,412;97,402;17,882;4,596;19,581;4,179;31,412;40,133;45,669;38,222
9.12.1994;2,842;24,183;97,246;22,75;23,664;20,015;5,11;23,883;6,456;5,828;49,29;12,974;48,252;19,376;31,312;97,246;17,869;4,59;19,57;4,188;31,459;40,088;45,749;38,179
12.12.1994;2,837;24,379;97,142;22,81;23,566;19,969;5,1;23,847;6,454;5,822;49,181;12,954;48,237;19,357;31,461;97,142;17,837;4,584;19,534;4,186;31,571;40,058;45,809;38,15
13.12.1994;2,839;24,405;97,157;22,772;23,572;19,983;5,103;23,848;6,446;5,811;49,201;12,944;48,318;19,26;31,467;97,157;17,842;4,587;19,537;4,189;31,539;40,053;45,742;38,146
14.12.1994;2,844;24,423;97,362;22,683;23,644;20,013;5,106;23,862;6,446;5,813;49,236;12,956;48,475;19,22;31,408;97,362;17,871;4,583;19,545;4,176;31,477;40,074;45,679;38,166
15.12.1994;2,843;24,403;97,31;22,672;23,677;20,011;5,104;23,767;6,429;5,806;49,145;12,95;48,355;19,211;31,317;97,31;17,872;4,581;19,477;4,156;31,467;40,039;45,659;38,132
16.12.1994;2,842;24,442;97,27;22,695;23,682;20,002;5,103;23,779;6,437;5,801;49,089;12,943;48,268;19,24;31,375;97,27;17,866;4,585;19,489;4,161;31,457;40,042;45,657;38,135
19.12.1994;2,843;24,383;97,268;22,685;23,655;20,007;5,105;23,839;6,455;5,805;49,145;12,944;48,388;19,266;31,365;97,268;17,865;4,588;19,496;4,177;31,437;40,076;45,625;38,168
20.12.1994;2,84;24,439;97,239;22,624;23,585;19,988;5,096;23,795;6,454;5,798;49,11;12,937;48,377;19,108;31,384;97,239;17,853;4,582;19,471;4,169;31,481;40,037;45,712;38,13
21.12.1994;2,841;24,406;97,257;22,548;23,622;19,996;5,093;23,749;6,457;5,798;49,07;12,936;48,422;19,055;31,373;97,257;17,863;4,579;19,459;4,175;31,455;40,003;45,622;38,098
22.12.1994;2,843;24,388;97,333;22,559;23,645;20,009;5,096;23,718;6,491;5,799;48,999;12,945;48,402;19,095;31,371;97,333;17,875;4,582;19,477;4,196;31,424;40,023;45,608;38,117
23.12.1994;2,839;24,45;97,249;22,59;23,664;19,974;5,091;23,604;6,55;5,782;48,811;12,92;48,127;19,144;31,383;97,249;17,853;4,574;19,429;4,2;31,499;39,946;45,738;38,044
27.12.1994;2,841;24,514;97,247;22,479;23,661;19,987;5,096;23,617;6,578;5,778;48,673;12,916;48,025;19,191;31,422;97,247;17,855;4,579;19,442;4,207;31,469;39,925;45,588;38,024
28.12.1994;2,838;24,473;97,184;22,511;23,638;19,966;5,096;23,634;6,607;5,784;48,647;12,914;47,995;19,184;31,368;97,184;17,848;4,579;19,428;4,205;31,509;39,883;45,675;37,984
29.12.1994;2,838;24,513;97,141;22,44;23,609;19,969;5,089;23,581;6,571;5,782;48,691;12,917;48,046;19,134;31,354;97,141;17,833;4,572;19,437;4,192;31,495;39,873;45,615;37,974
30.12.1994;2,851;24,321;97,467;22,261;23,704;20,06;5,108;23,63;6,595;5,801;48,62;12,946;48,126;19,113;31,346;97,467;17,907;4,594;19,488;4,165;31,277;39,99;45,319;38,086
