Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XDR;XEU;XCU
10.12.1993;2,742;22,148;92,295;24,918;22,364;19,279;4,931;23,669;5,734;5,641;49,164;13,475;46,551;19,668;30,236;92,295;17,237;4,445;18,953;3,962;32,954;46,439;37,245;
13.12.1993;2,747;22,029;92,292;24,762;22,539;19,31;4,946;23,61;5,743;5,641;49,164;13,53;46,596;19,62;30,124;92,292;17,255;4,45;18,948;3,97;32,884;46,34;37,264;
14.12.1993;2,754;22,07;92,336;24,714;22,529;19,368;4,939;23,564;5,735;5,646;49,1;13,507;46,612;19,529;30,149;92,336;17,283;4,456;18,886;3,917;32,862;46,31;37,286;
15.12.1993;2,744;22,133;92,138;24,809;22,485;19,292;4,917;23,551;5,711;5,64;49,122;13,466;46,714;19,515;30,16;92,138;17,228;4,445;18,849;3,919;32,986;46,484;37,231;
16.12.1993;2,735;22,225;92,026;24,721;22,474;19,234;4,908;23,56;5,669;5,632;49,092;13,433;46,633;19,543;30,117;92,026;17,176;4,431;18,876;3,917;33,014;46,525;37,151;
17.12.1993;2,738;22,262;92,227;24,751;22,521;19,258;4,913;23,384;5,706;5,636;49,058;13,441;46,641;19,478;30,012;92,227;17,195;4,432;18,846;3,911;32,971;46,464;37,159;
20.12.1993;2,743;22,116;92,321;24,696;22,56;19,263;4,921;23,418;5,672;5,64;49,029;13,424;46,663;19,477;29,989;92,321;17,221;4,439;18,867;3,917;32,949;46,433;37,177;
21.12.1993;2,737;22,42;92,446;24,612;22,558;19,25;4,918;23,489;5,698;5,646;48,992;13,424;46,654;19,568;29,839;92,446;17,183;4,438;18,863;3,927;32,976;46,47;37,196;
22.12.1993;2,74;22,421;92,85;24,525;22,694;19,267;4,924;23,512;5,742;5,653;49,028;13,446;46,759;19,72;29,746;92,85;17,208;4,446;18,879;3,926;32,929;46,404;37,279;
23.12.1993;2,743;22,391;93,012;24,474;22,7;19,284;4,929;23,502;5,763;5,663;48,983;13,444;46,841;19,706;29,537;93,012;17,223;4,447;18,875;3,949;32,898;46,361;37,3;
27.12.1993;2,748;22,225;92,92;24,612;22,842;19,323;4,938;23,506;5,78;5,67;49,183;13,429;46,938;19,783;29,731;92,92;17,253;4,457;18,905;3,982;32,82;46,25;37,339;
28.12.1993;2,747;22,339;93,175;24,793;22,76;19,319;4,954;23,519;5,768;5,677;49,367;13,445;47,123;19,572;29,573;93,175;17,234;4,454;18,957;3,971;32,9;46,364;37,408;
29.12.1993;2,752;22,376;92,889;24,752;22,79;19,345;4,955;23,531;5,759;5,68;49,528;13,459;47,102;19,586;29,57;92,889;17,263;4,46;19,007;3,961;32,92;46,391;37,407;
30.12.1993;2,748;22,242;92,859;24,697;22,864;19,326;4,949;23,456;5,766;5,673;49,538;13,445;46,942;19,518;29,509;92,859;17,251;4,46;18,989;4,01;32,946;46,429;37,328;
31.12.1993;2,737;22,385;92,497;24,848;22,609;19,223;4,929;23,347;5,749;5,657;49,132;13,396;46,924;19,442;29,703;92,497;17,176;4,433;18,891;3,998;33,202;46,788;37,219;
