Dátum;ATS;AUD;BEF;CAD;CHF;CZK;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;SIT;USD;XDR;XEU
29.9.1998;2,94;20,467;100,303;23,021;25,079;1,155;20,688;5,435;24,354;6,795;6,169;59,037;11,998;51,604;20,914;25,634;100,303;18,348;4,681;20,163;4,402;22,121;34,785;47,656;40,681
30.9.1998;2,945;20,682;100,379;23,063;25,037;1,158;20,724;5,448;24,396;6,806;6,18;59,248;12,01;51,809;20,959;25,9;100,379;18,381;4,674;20,159;4,437;21,839;34,701;47,737;40,774
1.10.1998;2,944;20,58;100,35;22,877;25,019;1,145;20,719;5,447;24,384;6,804;6,18;58,922;12,037;51,723;20,948;25,515;100,35;18,376;4,682;20,21;4,419;21,958;34,711;47,601;40,768
2.10.1998;2,961;20,604;100,935;22,504;25,245;1,14;20,833;5,479;24,508;6,843;6,214;58,691;12,071;51,915;21,07;25,39;100,935;18,476;4,664;20,306;4,402;21,756;34,449;47,473;40,956
5.10.1998;3,167;21,608;108,041;23,511;27,028;1,207;22,3;5,872;26,224;7,32;6,648;62,258;12,78;55,263;22,544;27,2;108,041;19,766;4,908;21,737;4,623;23,431;36,453;50,502;43,793
6.10.1998;3,28;22,667;111,845;24,495;27,95;1,266;23,075;6,094;27,147;7,577;6,882;63,986;13,289;57,789;23,334;27,922;111,845;20,472;5,034;22,493;4,704;24,54;37,882;52,253;45,426
7.10.1998;3,282;22,171;111,873;24,269;28,07;1,258;23,093;6,091;27,167;7,582;6,889;63,611;13,275;57,818;23,353;28,455;111,873;20,477;5,064;22,516;4,725;24,426;37,802;52,326;45,527
8.10.1998;3,27;22,604;111,467;24,416;27,967;1,269;23,001;6,053;27,076;7,555;6,86;62,842;13,233;57,441;23,246;29,545;111,467;20,406;5,063;22,458;4,736;24,1;37,297;52,182;45,303
9.10.1998;3,188;22,174;108,757;23,559;27,872;1,248;22,432;5,899;26,41;7,365;6,69;61,785;12,894;56,034;22,682;30,747;108,757;19,897;4,919;21,887;4,631;23,408;35,693;51,069;44,206
12.10.1998;3,156;22,226;107,591;23,557;27,451;1,242;22,212;5,841;26,135;7,294;6,624;61,729;12,807;55,463;22,451;30,617;107,591;19,691;4,859;21,6;4,563;23,969;36,229;51,191;43,995
13.10.1998;3,141;22,613;107,119;23,72;27,296;1,243;22,098;5,813;26,071;7,258;6,591;61,645;12,797;55,104;22,33;30,981;107,119;19,596;4,836;21,534;4,573;23,604;36,399;51,302;43,786
14.10.1998;3,136;22,577;106,926;23,482;27,199;1,243;22,065;5,803;25,959;7,246;6,581;61,562;12,826;54,987;22,288;30,426;106,926;19,567;4,831;21,477;4,611;23,132;36,109;50,95;43,582
15.10.1998;3,11;22,551;106,046;23,13;27,009;1,239;21,879;5,753;25,737;7,185;6,525;60,934;12,688;54,559;22,106;30,032;106,046;19,399;4,727;21,327;4,52;23,041;35,833;50,486;43,107
16.10.1998;3,136;22,826;106,929;23,393;27,08;1,246;22,06;5,8;25,958;7,25;6,578;61,524;12,789;55,023;22,294;30,483;106,929;19,563;4,704;21,504;4,534;23,241;36,095;50,949;43,471
19.10.1998;3,116;22,553;106,196;22,933;26,97;1,246;21,915;5,766;25,749;7,203;6,536;60,175;12,775;54,674;22,146;30,592;106,196;19,428;4,734;21,373;4,513;22,829;35,374;50,318;43,183
20.10.1998;3,107;22,333;105,952;22,874;26,905;1,246;21,862;5,749;25,705;7,19;6,519;60,277;12,718;54,525;22,096;30,969;105,952;19,382;4,771;21,304;4,558;22,814;35,351;50,381;43,093
21.10.1998;3,112;22,597;106,09;23,109;26,867;1,247;21,893;5,758;25,757;7,198;6,53;60,701;12,74;54,614;22,134;30,501;106,09;19,413;4,783;21,364;4,563;23,08;35,763;50,563;43,136
22.10.1998;3,11;22,58;106,055;23,342;26,663;1,235;21,887;5,755;25,745;7,196;6,527;61,072;12,776;54,566;22,126;30,976;106,055;19,405;4,863;21,322;4,615;23,161;35,889;50,797;43,13
23.10.1998;3,099;22,5;105,697;23,224;26,567;1,234;21,806;5,734;25,67;7,171;6,504;61,092;12,758;54,379;22,044;30,484;105,697;19,337;4,848;21,268;4,606;23,253;36,032;50,694;42,95
26.10.1998;3,086;22,214;105,219;23,006;26,545;1,236;21,715;5,711;25,556;7,14;6,475;60,302;12,718;54,128;21,944;30,03;105,219;19,251;4,84;21,16;4,613;22,965;35,585;50,163;42,746
27.10.1998;3,111;22,173;105,005;23,172;26,494;1,215;21,642;5,693;25,504;7,119;6,471;60,139;12,759;54,001;21,875;30,07;105,005;19,192;4,863;21,121;4,653;23,111;35,812;50,254;42,577
28.10.1998;3,069;21,987;104,676;23,284;26,381;1,231;21,593;5,68;25,413;7,101;6,441;59,808;12,712;53,751;21,827;29,961;104,676;19,147;4,871;21,076;4,639;23,13;35,841;50,158;42,477
29.10.1998;3,043;21,886;103,718;22,86;26,436;1,215;21,41;5,628;25,197;7,041;6,386;59,127;12,541;53,242;21,629;30,099;103,718;18,973;4,783;20,863;4,494;22,771;35,285;49,677;42,125
30.10.1998;3,023;21,752;103,081;22,796;26,165;1,211;21,269;5,593;25,01;6,992;6,343;58,803;12,475;52,934;21,496;30,015;103,081;18,858;4,761;20,735;4,514;22,398;35,058;49,391;41,842
2.11.1998;3,009;21,792;102,642;22,565;26,004;1,21;21,171;5,568;24,909;6,96;6,314;58,781;12,464;52,691;21,403;30,027;102,642;18,769;4,759;20,64;4,501;22,382;34,999;49,288;41,651
3.11.1998;3,017;21,889;102,875;22,66;26,014;1,216;21,221;5,583;24,966;6,977;6,33;58,464;12,508;52,798;21,449;30,322;102,875;18,818;4,782;20,695;4,527;22,329;34,998;49,37;41,705
4.11.1998;3,008;21,898;102,594;22,953;25,906;1,217;21,164;5,566;24,89;6,958;6,312;58,147;12,549;52,638;21,393;30,316;102,594;18,774;4,763;20,627;4,482;22,394;35,118;49,365;41,52
5.11.1998;3,024;22,278;103,156;23,239;25,92;1,214;21,272;5,598;25,026;6,997;6,351;58,557;12,628;52,955;21,505;30,294;103,156;18,869;4,773;20,762;4,513;22,44;35,433;49,662;41,719
6.11.1998;3,032;22,444;103,453;23,335;26,045;1,21;21,337;5,611;25,095;7,016;6,362;58,791;12,672;53,115;21,569;30,107;103,453;18,92;4,803;20,811;4,559;22,347;35,443;49,681;41,885
9.11.1998;3,039;22,374;103,646;23,259;25,974;1,215;21,38;5,623;25,104;7,03;6,376;58,998;12,707;53,203;21,612;30,067;103,646;18,962;4,827;20,855;4,577;22,425;35,509;49,761;41,991
10.11.1998;3,044;22,747;103,83;23,433;25,929;1,22;21,413;5,632;25,185;7,042;6,385;59,686;12,758;53,247;21,646;30,032;103,83;18,992;4,844;20,892;4,579;22,734;35,893;50,069;42,111
11.11.1998;3,043;22,621;103,744;23,445;25,901;1,221;21,407;5,625;25,153;7,038;6,384;59,887;12,72;53,186;21,64;29,377;103,744;18,986;4,821;20,848;4,542;22,552;36,046;49,998;42,078
12.11.1998;3,044;22,73;103,818;23,34;25,987;1,21;21,416;5,633;25,191;7,042;6,388;59,647;12,742;53,299;21,645;29,694;103,818;18,998;4,821;20,88;4,509;22,46;36,025;50,055;42,14
13.11.1998;3,073;22,948;104,827;23,525;26,224;1,217;21,622;5,689;25,428;7,11;6,448;60,46;12,861;53,802;21,86;29,57;104,827;19,181;4,857;21,109;4,541;22,702;36,417;50,474;42,533
16.11.1998;3,086;23,382;105,265;23,678;26,369;1,221;21,715;5,71;25,544;7,139;6,474;61,095;12,947;54,005;21,946;30,01;105,265;19,257;4,886;21,179;4,514;22,766;36,606;50,834;42,725
17.11.1998;3,093;23,165;105,485;23,42;26,425;1,216;21,764;5,724;25,597;7,157;6,49;60,727;12,936;54,142;21,996;29,822;105,485;19,303;4,885;21,226;4,495;22,581;36,308;50,606;42,827
18.11.1998;3,079;22,812;105,039;23,191;26,344;1,219;21,665;5,697;25,484;7,124;6,461;60,478;12,862;53,878;21,89;30,053;105,039;19,217;4,862;21,124;4,506;22,652;36,018;50,406;42,629
19.11.1998;3,083;22,983;105,174;23,368;26,364;1,216;21,694;5,703;25,492;7,135;6,471;60,502;12,905;53,912;21,915;29,795;105,174;19,242;4,877;21,159;4,523;22,769;36,18;50,455;42,701
20.11.1998;3,093;23,471;105,483;23,47;26,484;1,212;21,766;5,723;25,592;7,158;6,49;60,776;12,947;54,099;21,984;30,552;105,483;19,301;4,899;21,227;4,518;22,909;36,418;50,875;42,8
23.11.1998;3,084;23,508;105,15;23,646;26,351;1,215;21,692;5,705;25,517;7,134;6,467;60,774;12,928;53,901;21,907;30,342;105,15;19,239;4,889;21,156;4,524;22,9;36,588;50,864;42,652
24.11.1998;3,075;23,625;104,844;23,821;26,248;1,203;21,635;5,691;25,464;7,115;6,453;60,739;12,894;53,746;21,85;30,36;104,844;19,189;4,917;21,107;4,549;22,893;36,863;50,99;42,538
25.11.1998;3,075;23,613;104,886;23,826;26,212;1,199;21,637;5,692;25,445;7,116;6,452;61,181;12,886;53,772;21,854;30,436;104,886;19,19;4,935;21,098;4,565;22,676;36,962;51,118;42,599
26.11.1998;3,073;23,593;104,826;23,746;26,2;1,205;21,62;5,686;25,424;7,11;6,447;61,058;12,886;53,741;21,84;30,43;104,826;19,178;4,918;21,087;4,543;22,5;36,775;50,98;42,611
27.11.1998;3,051;23,289;103,944;24,046;25,943;1,2;21,46;5,639;25,211;7,059;6,395;60,522;12,784;53,3;21,662;29,851;103,944;19,019;4,859;20,912;4,468;22,489;36,557;50,526;42,194
30.11.1998;3,051;23,166;104,051;23,852;26,017;1,196;21,469;5,646;25,229;7,06;6,401;60,534;12,778;53,318;21,681;29,822;104,051;19,04;4,881;20,934;4,495;22,422;36,548;50,52;42,193
1.12.1998;3,053;23,205;104,139;23,879;26,066;1,192;21,483;5,649;25,25;7,063;6,406;60,593;12,805;53,395;21,697;29,697;104,139;19,054;4,877;20,947;4,504;22,519;36,685;50,583;42,215
2.12.1998;3,068;22,936;104,648;23,886;26,308;1,196;21,591;5,679;25,383;7,101;6,44;60,028;12,817;53,648;21,808;29,739;104,648;19,156;4,886;21,054;4,485;22,324;36,386;50,438;42,355
3.12.1998;3,075;23,138;104,861;23,751;26,379;1,191;21,63;5,69;25,42;7,115;6,452;59,993;12,871;53,692;21,848;29,989;104,861;19,193;4,884;21,089;4,489;22,492;36,303;50,483;42,402
4.12.1998;3,075;22,508;104,879;23,459;26,54;1,195;21,633;5,69;25,436;7,118;6,451;60,176;12,82;53,777;21,849;30,641;104,879;19,194;4,881;21,102;4,485;22,466;36,068;50,541;42,434
7.12.1998;3,076;22,453;104,906;23,53;26,482;1,2;21,642;5,693;25,448;7,12;6,454;60,297;12,857;53,77;21,857;30,544;104,906;19,205;4,882;21,119;4,523;22,578;36,182;50,599;42,498
8.12.1998;3,063;22,308;104,472;23,554;26,301;1,194;21,546;5,667;25,317;7,087;6,426;60,004;12,829;53,528;21,77;30,162;104,472;19,123;4,849;21,012;4,455;22,56;36,185;50,402;42,284
9.12.1998;3,068;22,376;104,624;23,501;26,356;1,191;21,584;5,677;25,368;7,097;6,436;59,664;12,845;53,604;21,806;30,211;104,624;19,149;4,765;21,047;4,421;22,446;36,158;50,388;42,339
10.12.1998;3,072;22,163;104,762;23,318;26,489;1,19;21,614;5,682;25,408;7,111;6,444;59,729;12,897;53,693;21,829;30,376;104,762;19,179;4,769;21,084;4,477;22,458;36,038;50,39;42,386
11.12.1998;3,076;22,304;104,9;23,377;26,601;1,196;21,637;5,688;25,45;7,117;6,452;59,719;12,902;53,728;21,846;30,636;104,9;19,199;4,746;21,1;4,466;22,442;35,942;50,422;42,446
14.12.1998;3,081;22,373;105,084;23,239;26,883;1,209;21,678;5,692;25,479;7,13;6,464;59,769;12,93;53,837;21,89;30,449;105,084;19,233;4,679;21,137;4,417;22,439;35,823;50,335;42,524
15.12.1998;3,078;22,109;105,037;23,244;26,825;1,204;21,653;5,689;25,443;7,122;6,458;60,266;12,919;53,771;21,865;30,872;105,037;19,219;4,647;21,12;4,458;22,527;35,744;50,44;42,498
16.12.1998;3,077;22,385;104,956;23,252;26,796;1,198;21,649;5,688;25,436;7,119;6,454;60,477;12,906;53,756;21,862;30,722;104,956;19,207;4,591;21,105;4,447;22,551;35,853;50,48;42,52
17.12.1998;3,077;22,351;104,936;23,309;26,816;1,199;21,648;5,692;25,452;7,121;6,456;60,274;12,914;53,773;21,864;30,981;104,936;19,207;4,667;21,116;4,487;22,552;35,888;50,55;42,511
18.12.1998;3,086;22,499;105,272;23,464;26,879;1,205;21,715;5,708;25,526;7,141;6,475;60,63;12,908;53,928;21,929;31,089;105,272;19,266;4,705;21,176;4,503;22,623;36,1;50,785;42,661
21.12.1998;3,08;22,358;105,09;23,346;26,741;1,212;21,67;5,698;25,483;7,13;6,46;60,532;12,914;53,821;21,871;31,263;105,09;19,228;4,66;21,129;4,469;22,507;36,004;50,734;42,566
22.12.1998;3,079;22,259;104,981;23,294;26,678;1,209;21,662;5,695;25,431;7,126;6,456;60,701;12,896;53,798;21,87;31,208;104,981;19,22;4,717;21,117;4,506;22,578;36,061;50,763;42,55
23.12.1998;3,081;22,361;105,084;23,387;26,648;1,21;21,68;5,698;25,489;7,131;6,467;60,915;12,915;53,855;21,89;30,99;105,084;19,237;4,723;21,146;4,524;22,62;36,233;50,843;42,579
28.12.1998;3,099;22,393;105,716;23,449;26,728;1,224;21,808;5,733;25,625;7,174;6,503;61,152;12,995;54,16;22,021;31,344;105,716;19,353;4,78;21,269;4,572;22,65;36,414;51,155;42,836
29.12.1998;3,102;22,314;105,799;23,669;26,7;1,224;21,824;5,736;25,647;7,18;6,508;61,375;13,022;54,125;22,037;31,529;105,799;19,365;4,8;21,276;4,537;22,785;36,67;51,389;42,876
30.12.1998;3,117;22,451;106,175;23,715;26,876;1,232;21,923;5,76;25,738;7,212;6,543;61,525;13,068;54,472;22,14;31,79;106,175;19,462;4,819;21,392;4,534;22,65;36,694;51,562;43,077
31.12.1998;3,137;22,582;107,025;23,78;26,987;1,235;22,081;5,799;25,968;7,265;6,582;61,805;13,123;54,827;22,297;32,022;107,025;19,595;4,885;21,532;4,569;22,871;36,913;51,888;43,29
